user_id,book_id,bookrating,booktittle,book_author,year_of_pub,total_ratings
276925,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
277195,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
277413,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
277427,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
277439,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
277752,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
277965,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
278633,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
243,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
388,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
638,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
709,0316666343,3,The Lovely Bones: A Novel,Alice Sebold,2002,1295
1075,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
1111,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
1928,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
2358,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
2766,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
2790,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
2854,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
3261,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
3346,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
3363,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
3593,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
4017,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
4334,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
4795,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
4802,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
5049,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
5351,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
5476,0316666343,4,The Lovely Bones: A Novel,Alice Sebold,2002,1295
5903,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
6306,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
6543,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
6563,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
6575,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
6778,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
7158,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
7283,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
7346,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
7424,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
8253,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
8681,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
8801,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
9227,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
9357,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
9486,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
9856,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
10199,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
10441,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
10560,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
11224,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
11591,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
11676,0316666343,5,The Lovely Bones: A Novel,Alice Sebold,2002,1295
12538,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
12754,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
13273,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
13354,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
13582,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
13995,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
14667,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
14768,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
15418,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
15602,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
16036,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
16412,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
16708,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
16730,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
16755,0316666343,6,The Lovely Bones: A Novel,Alice Sebold,2002,1295
16795,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
16840,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
17003,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
17065,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
17183,0316666343,6,The Lovely Bones: A Novel,Alice Sebold,2002,1295
17452,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
17588,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
17920,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
17950,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
17970,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
18121,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
18407,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
18656,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
18913,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
19107,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
19206,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
19336,0316666343,5,The Lovely Bones: A Novel,Alice Sebold,2002,1295
19367,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
19493,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
19529,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,1295
19905,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
20801,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
20804,0316666343,9,The Lovely Bones: A Novel,Alice Sebold,2002,1295
20866,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
20971,0316666343,6,The Lovely Bones: A Novel,Alice Sebold,2002,1295
21011,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
21026,0316666343,8,The Lovely Bones: A Novel,Alice Sebold,2002,1295
21345,0316666343,10,The Lovely Bones: A Novel,Alice Sebold,2002,1295
21425,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,1295
